generated_utc,category,rank,strategy_id,family_id,portfolio,lifecycle_status,evolution_score,grade,closed_trades,matched_pairs,profit_factor,expectancy_r,max_drawdown_r
2026-08-11T05:15:25+00:00,BASELINE,1,portfolio-218242a9cd930220dac2,shadow-1h-fast-nohigh-cap75-v1,SHADOW_1H_FAST_NOHIGH_CAP75_V1,BASELINE,16.93,E,64,0,1.4445311049166307,0.1748499870978127,5.398987112949565
2026-08-11T05:15:25+00:00,BASELINE,2,portfolio-9da609258ab55b372664,shadow-combo-adaptive,SHADOW_COMBO_ADAPTIVE,BASELINE,16.91,E,42,0,1.6826984839242072,0.19522241665019788,2.722427980646917
2026-08-11T05:15:25+00:00,BASELINE,3,portfolio-74340d3089b701fbbc4a,shadow-combo-adaptive-side-regime-guard-v1,SHADOW_COMBO_ADAPTIVE_SIDE_REGIME_GUARD_V1,BASELINE,16.61,E,35,0,1.64806310517157,0.25056317923911475,6.5398499775643515
2026-08-11T05:15:25+00:00,BASELINE,4,portfolio-ec4f81fe1de280de7ed3,shadow-1h-fast-score-6-75-cost-aware-v1,SHADOW_1H_FAST_SCORE_6_75_COST_AWARE_V1,BASELINE,16.18,E,36,0,1.5163507792796318,0.19515424376591328,3.315960720856424
2026-08-11T05:15:25+00:00,BASELINE,5,portfolio-957b2cb822007458d9c4,shadow-1h-fast-no-pepe-v1,SHADOW_1H_FAST_NO_PEPE_V1,BASELINE,15.92,E,73,0,1.2530339209306998,0.1032851687980599,4.118140321306727
2026-08-11T05:15:25+00:00,BASELINE,6,portfolio-75e764a8b5f3bac742b9,shadow-1h-fast-score-6-75-v1,SHADOW_1H_FAST_SCORE_6_75_V1,BASELINE,15.87,E,75,0,1.2218930863288051,0.08628846109232732,3.7826146516687027
2026-08-11T05:15:25+00:00,BASELINE,7,portfolio-64f18e5c18eb6ebf4e08,shadow-1h-fast-v3,SHADOW_1H_FAST_V3,BASELINE,15.85,E,104,0,1.098945518123978,0.04125140074275517,6.537050550187364
2026-08-11T05:15:25+00:00,BASELINE,8,portfolio-8a181ed9bb10700026fc,shadow-donchian-1h,SHADOW_DONCHIAN_1H,BASELINE,14.73,E,40,0,1.4406461407324986,0.23364329456225305,8.54556987772249
2026-08-11T05:15:25+00:00,BASELINE,9,portfolio-7eac24fb119f6c5ee908,shadow-1h-fast-score-6-75-no-trend-up-v1,SHADOW_1H_FAST_SCORE_6_75_NO_TREND_UP_V1,BASELINE,14.6,E,33,0,1.4188092280956834,0.17491663429502982,4.188353424950249
2026-08-11T05:15:25+00:00,BASELINE,10,portfolio-10b34d60ef4a5a8f1cbd,shadow-combo-trend-side-regime-guard-v1,SHADOW_COMBO_TREND_SIDE_REGIME_GUARD_V1,BASELINE,13.51,E,32,0,1.383409221310748,0.15938042537477254,5.483143260142959
2026-08-11T05:15:25+00:00,BASELINE,11,portfolio-2be30fda23278e335fda,shadow-1h-fast-v3-no-esports-mfe-lock-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_MFE_LOCK_V1,BASELINE,13.46,E,60,0,1.1829022710995012,0.06267940473124471,7.080199766955203
2026-08-11T05:15:25+00:00,BASELINE,12,portfolio-8e32aa94f6b1b6ac1ac6,shadow-1h-fast-v3-cap75-v1,SHADOW_1H_FAST_V3_CAP75_V1,BASELINE,13.18,E,68,0,1.1056653540811245,0.04792923409777084,6.353220607426279
2026-08-11T05:15:25+00:00,BASELINE,13,portfolio-98352068c6b959be884d,shadow-1h-balanced-v3,SHADOW_1H_BALANCED_V3,BASELINE,12.87,E,66,0,1.1731015740300557,0.0840612881334052,7.503563363154412
2026-08-11T05:15:25+00:00,BASELINE,14,portfolio-275cb3af75fb8f30b69b,shadow-scanner-top5-long,SHADOW_SCANNER_TOP5_LONG,BASELINE,12.22,E,50,0,1.295758511203537,0.1382485962572703,10.325011414906246
2026-08-11T05:15:25+00:00,BASELINE,15,portfolio-8b3b1ebc38a7956fb73c,shadow-1h-fast-v3-no-esports-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_V1,BASELINE,12.21,E,78,0,1.0067906597810774,0.003030887940814028,6.537050550187364
2026-08-11T05:15:25+00:00,BASELINE,16,portfolio-819df6e454a22a88bd0a,shadow-1h-fast-v3-nohigh-v1,SHADOW_1H_FAST_V3_NOHIGH_V1,BASELINE,11.87,E,62,0,1.0726818754164846,0.03339053878126287,5.534120465100367
2026-08-11T05:15:25+00:00,BASELINE,17,portfolio-0a0a90ccde67415644d5,shadow-1h-fast,SHADOW_1H_FAST,BASELINE,9.88,E,78,0,1.027291226945596,0.012421385601833299,13.480875976232651
2026-08-11T05:15:25+00:00,BASELINE,18,portfolio-9fb781bb9b95e345d385,shadow-1h-balanced-v2,SHADOW_1H_BALANCED_V2,BASELINE,9.66,E,41,0,1.3681912741226967,0.13796383961588077,4.1700830425241255
2026-08-11T05:15:25+00:00,BASELINE,19,portfolio-a0ddc7095998cad2c7cf,shadow-scanner-top5-btc,SHADOW_SCANNER_TOP5_BTC,BASELINE,9.27,E,41,0,1.1326702109862827,0.06483062383991277,9.292708776261337
2026-08-11T05:15:25+00:00,BASELINE,20,portfolio-453f91cdf22610c84df2,shadow-1h-fast-v3-long-nohigh-cap75-lock-v1,SHADOW_1H_FAST_V3_LONG_NOHIGH_CAP75_LOCK_V1,BASELINE,8.45,E,49,0,0.8476038598367139,-0.08526856547523096,6.576416196284787
